id	species	location	iso2	iso3	country	state	intregion	region
EPI_ISL_417181	Human	Asia / Hong Kong	HK	HKG	Hong Kong		Eastern Asia	Asia
EPI_ISL_417182	Human	Asia / Hong Kong	HK	HKG	Hong Kong		Eastern Asia	Asia
EPI_ISL_417180	Human	Asia / Hong Kong	HK	HKG	Hong Kong		Eastern Asia	Asia
EPI_ISL_426900	Human	Oceania / Australia / Northern territory	AU	AUS	Australia	Northern territory	Australia and New Zealand	Oceania
EPI_ISL_417174	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_426901	Human	Oceania / Australia / Northern territory	AU	AUS	Australia	Northern territory	Australia and New Zealand	Oceania
EPI_ISL_417175	Human	North America / USA / Washington / Grant County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_426902	Human	Oceania / Australia / Northern territory	AU	AUS	Australia	Northern territory	Australia and New Zealand	Oceania
EPI_ISL_417172	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_426903	Human	Oceania / Australia / Northern territory	AU	AUS	Australia	Northern territory	Australia and New Zealand	Oceania
EPI_ISL_417173	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_426904	Human	Oceania / Australia / Northern territory	AU	AUS	Australia	Northern territory	Australia and New Zealand	Oceania
EPI_ISL_417178	Human	Asia / Hong Kong	HK	HKG	Hong Kong		Eastern Asia	Asia
EPI_ISL_426905	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_417179	Human	Asia / Hong Kong	HK	HKG	Hong Kong		Eastern Asia	Asia
EPI_ISL_426906	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_417176	Human	Asia / Hong Kong	HK	HKG	Hong Kong		Eastern Asia	Asia
EPI_ISL_426907	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_417177	Human	Asia / Hong Kong	HK	HKG	Hong Kong		Eastern Asia	Asia
EPI_ISL_426908	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_426909	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_429181	Human	Asia / Thailand / Bangkok	TH	THA	Thailand	Bangkok	South-eastern Asia	Asia
EPI_ISL_429180	Human	Asia / Thailand / Bangkok	TH	THA	Thailand	Bangkok	South-eastern Asia	Asia
EPI_ISL_429183	Human	Asia / Thailand / Bangkok	TH	THA	Thailand	Bangkok	South-eastern Asia	Asia
EPI_ISL_429182	Human	Asia / Thailand / Bangkok	TH	THA	Thailand	Bangkok	South-eastern Asia	Asia
EPI_ISL_429184	Human	Asia / Thailand / Bangkok	TH	THA	Thailand	Bangkok	South-eastern Asia	Asia
EPI_ISL_417170	Human	North America / USA / Washington	US	USA	USA	Washington	Northern America	North America
EPI_ISL_417171	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
