country	freq	freq_PD_0	freq_PD_1	freq_PD_2	freq_PD_3	freq_PD_4	freq_G_0	freq_G_1	freq_G_2	freq_G_3	freq_G_4
Italy	0.07391664700601462	0.006314547575799972	0.00615581493792421	0.006220659979279	0.006139170136506245	0.006165215249272314	0.008569414817427547	0.00855841838155436	0.008356889197406337	0.008533859135351162	0.010142601327754013
Jordan	0.0001689028743362615	0.010159671339210752	0.00989306757257901	0.009980889140249416	0.009868566200409927	0.009901055465144862	0.006216519861255889	0.0041342092888317986	0.004043341571150709	0.004112829142392678	0.005903278672613732
Japan	0.004937632326401549	0.010187913839849502	0.009921234785237149	0.010012312047739844	0.009899525863635815	0.009930960644176763	0.010387938096384072	0.012435280866534146	0.01217367426633283	0.008249291209440018	0.00988214282113344
Cambodia	4.6725965235881875e-05	0.0020317180173437875	0.0019785592951300623	0.0019979709557009424	0.0019742823870154617	0.001977381663842199	0.0020728428001088274	0.0020657143119724762	0.002019058009625317	0.002054974064240152	0.001967947032283789
South Korea	0.004104990945886736	0.010177368821874382	0.009910810007896077	0.009999376509008237	0.009888220114832192	0.009918407717816666	0.008355391938556252	0.008329258974844059	0.01015082969854139	0.010356811848481369	0.011882109158609145
Kuwait	0.0010011612551360262	0.00812657451647845	0.009893869329466972	0.009982529997923446	0.00790177596288109	0.00990092446185922	0.006216413312912391	0.006196646205890049	0.0060590707092074815	0.006164288185390461	0.005903195689256701
Sri Lanka	0.00016085988032024906	0.008122388319714126	0.007911775326955637	0.00798886285256842	0.007897142976114347	0.00791808300366073	0.006216331337433401	0.0061980221626391375	0.006059353834552587	0.006164405083829344	0.00590333942108054
Lithuania	0.0005400295982179789	0.002031781636085469	0.0019795862238089234	0.0019979413016775415	0.001973878711643858	0.0019774149600217074	0.0020715940767419747	0.0020653354771877365	0.002019269019140708	0.002054628781699144	0.0019678091607579396
Luxembourg	0.001415183947103143	0.008122168342357627	0.007912508814621142	0.007987143313269822	0.007896857495632716	0.007918257425832154	0.008289300325873966	0.008263257542554176	0.00614164355289296	0.0073456187103167	0.007870840529137006
Latvia	0.00030027177659779823	0.010159412946351436	0.00989331677048416	0.009980980368824314	0.009868665491023686	0.009901263514597997	0.00621640812219846	0.0061975168868048545	0.006058784128086528	0.0061644896542675945	0.00590321315504696
Mexico	0.004929972332100585	0.016257084511499445	0.01584902020669876	0.01401046516910282	0.013839523521566238	0.013891424683007794	0.016581795483806082	0.01446662433943218	0.014149266895191507	0.014396630519545794	0.013789644541071268
Malaysia	0.0021796513783393745	0.004083521347945059	0.003977716789761044	0.004017375283587856	0.003966928020254834	0.003981724261884829	0.008302112064422325	0.006228366276700117	0.008479289103915814	0.006204837418530969	0.005949452571713424
Nigeria	0.00041938468797779216	0.0020325655639438496	0.0019784104267634287	0.0019983420879225665	0.001974045591658234	0.001977913008079466	0.0020710767907675147	0.0020652900309446392	0.0020193031298113076	0.0020547239199562427	0.0019677343749634076
Netherlands	0.013992894589286426	0.0266920040848117	0.028002973927385842	0.02829739647724106	0.027936149706744337	0.02802988113339901	0.03389569130972714	0.02513379921012496	0.03642020112998246	0.03619406919162106	0.024018422289660463
Norway	0.0028372618890771546	0.010166524564732693	0.007926837810737596	0.011982871583342564	0.005933133941071601	0.00793368159634645	0.012444164977684944	0.010361344926703956	0.01415015316201343	0.01233516925886288	0.007991050292058757
Nepal	1.876698603736239e-05	0.0020315337216479726	0.001978473702026977	0.001997973179369161	0.001973908251098314	0.001976135077100725	0.0020714267464195823	0.0020647834911783963	0.0020193068139559016	0.0020549393860296397	0.001967686169461032
